module,batch_size,shape,measurement_kind,mcu_docker_median_s,crypten_docker_median_s,torch_plain_median_s,ratio_mcu_over_crypten,ratio_mcu_over_plain,ratio_crypten_over_plain,mcu_critical_role,mcu_p0_elapsed_s,mcu_p1_elapsed_s,mcu_hp_elapsed_s,mcu_critical_comm_s,mcu_critical_local_s,mcu_critical_protocol_s,mcu_critical_write_s,mcu_p0_comm_s,mcu_p1_comm_s,mcu_hp_comm_s,mcu_p0_local_s,mcu_p1_local_s,mcu_hp_local_s,mcu_p0_protocol_s,mcu_p1_protocol_s,mcu_p0_write_s,mcu_p1_write_s,mcu_p0_send_msgs,mcu_p0_recv_msgs,mcu_p1_send_msgs,mcu_p1_recv_msgs,mcu_hp_send_msgs,mcu_hp_recv_msgs,mcu_p0_send_bytes,mcu_p0_recv_bytes,mcu_p1_send_bytes,mcu_p1_recv_bytes,mcu_hp_send_bytes,mcu_hp_recv_bytes,crypten_rank0_median_s,crypten_rank1_median_s,mcu_times_s,crypten_times_s,plain_times_s,verify
elemul,1,[64],docker_real_comm_mcu_3role_tcp_vs_crypten_2rank_gloo,0.054539000,0.007378232,0.000286156,7.391879,190.591845,25.783950,p1,0.009578000,0.054539000,0.006171000,0.047768718,0.006770292,0.047794112,0.006744898,0.004308087,0.047768718,0.006125578,0.005269932,0.006770292,0.000045893,0.004334341,0.047794112,0.005243678,0.006744898,64,64,64,64,128,128,1152,576,1152,576,1152,2304,0.007173617,0.007378232,0.054539000;0.065979000;0.052629000,0.007182071;0.007378232;0.008099034,0.000424238;0.000281756;0.000286156,[verify] elemul ok: 64/64
matmul,1,"[4,16]x[16,16]",docker_real_comm_mcu_3role_tcp_vs_crypten_2rank_gloo,0.057207000,0.007367911,0.000330863,7.764345,172.902379,22.268767,p1,0.005627000,0.057207000,0.000271000,0.048206617,0.009000076,0.048237919,0.008968774,0.000232810,0.048206617,0.000262449,0.005394673,0.009000076,0.000008696,0.000265123,0.048237919,0.005362360,0.008968774,1,1,1,1,2,2,2578,521,2578,521,1042,5156,0.007313312,0.007367911,0.017043000;0.081134000;0.057207000,0.007367911;0.007565013;0.007363756,0.000330863;0.000410433;0.000311626,[verify] matmul ok: 64/64
exp,1,[64],docker_real_comm_mcu_3role_tcp_vs_crypten_2rank_gloo,0.236875000,0.023377969,0.000317618,10.132403,745.785819,73.604043,p1,0.193555000,0.236875000,0.195368000,0.234130237,0.002744857,0.236287341,0.000587753,0.190628449,0.234130237,0.194050127,0.002926631,0.002744857,0.001318175,0.192851753,0.236287341,0.000703327,0.000587753,6464,192,6464,192,384,12928,58176,832,58176,832,1664,116352,0.022918075,0.023377969,0.235992000;0.250586000;0.236875000,0.023377969;0.024192982;0.021691331,0.000317618;0.000273962;0.000324221,"[verify] Exp ok: n=64, max_err=3.115e-11"
sigmoid,1,[64],docker_real_comm_mcu_3role_tcp_vs_crypten_2rank_gloo,0.263188000,0.094220647,0.000282781,2.793316,930.713166,333.192990,p1,0.217601000,0.263188000,0.218838000,0.260027821,0.003160557,0.262369209,0.000819169,0.214503098,0.260027821,0.217220688,0.003097587,0.003160557,0.001617762,0.216833378,0.262369209,0.000767307,0.000819169,6528,256,6528,256,512,13056,58752,1408,58752,1408,2816,117504,0.094220647,0.094174576,0.263188000;0.264138000;0.261676000,0.092264263;0.094220647;0.104840565,0.000499418;0.000280645;0.000282781,"[verify] Sigmoid ok: n=64, max_err=8.549e-15"
gelu,1,[64],docker_real_comm_mcu_3role_tcp_vs_crypten_2rank_gloo,0.263927000,0.102376013,0.000304562,2.578016,866.578891,336.141781,p0,0.263927000,0.214101000,0.215516000,0.261102473,0.002824644,0.263189770,0.000737347,0.261102473,0.211234584,0.214132494,0.002824644,0.002866177,0.001383049,0.263189770,0.213453893,0.000737347,0.000646868,6592,320,6592,320,640,13184,59840,1984,59840,1984,3968,119680,0.102376013,0.102303730,0.274440000;0.263927000;0.255970000,0.102376013;0.102937376;0.095271079,0.000298439;0.000369891;0.000304562,"[verify] Gelu ok: n=64, max_err=7.161e-12"
softmax,1,"[16,4]",docker_real_comm_mcu_3role_tcp_vs_crypten_2rank_gloo,0.242056000,0.332327634,0.000456622,0.728366,530.101485,727.795933,p1,0.190065000,0.242056000,0.191482000,0.239294638,0.002761417,0.241344409,0.000711646,0.186970671,0.239294638,0.190138042,0.003094095,0.002761417,0.001343738,0.189327520,0.241344409,0.000737246,0.000711646,6480,256,6480,256,512,12960,58320,1408,58320,1408,2816,116640,0.332327634,0.332257063,0.239604000;0.242056000;0.248810000,0.332327634;0.350301712;0.322944752,0.000456622;0.000975587;0.000347367,"[verify] Softmax ok: n=16, max_err=7.550e-15"
elemul,2,[128],docker_real_comm_mcu_3role_tcp_vs_crypten_2rank_gloo,0.060900000,0.006877868,0.000291997,8.854488,208.563786,23.554584,p1,0.014676000,0.060900000,0.013890000,0.055825969,0.005074365,0.055871953,0.005028381,0.009274600,0.055825969,0.013808012,0.005401502,0.005074365,0.000081892,0.009325217,0.055871953,0.005350885,0.005028381,128,128,128,128,256,256,2304,1152,2304,1152,2304,4608,0.006877868,0.006684470,0.057786000;0.060900000;0.071248000,0.006865860;0.007346163;0.006877868,0.000299493;0.000282799;0.000291997,[verify] elemul ok: 128/128
matmul,2,"[8,16]x[16,16]",docker_real_comm_mcu_3role_tcp_vs_crypten_2rank_gloo,0.049859000,0.007048876,0.000434168,7.073326,114.838035,16.235365,p1,0.006412000,0.049859000,0.000276000,0.040777596,0.009081433,0.040812826,0.009046203,0.000272751,0.040777596,0.000258923,0.006139206,0.009081433,0.000016912,0.000312680,0.040812826,0.006099277,0.009046203,1,1,1,1,2,2,3090,1033,3090,1033,2066,6180,0.007048876,0.007021282,0.046705000;0.049859000;0.064757000,0.006862147;0.007770907;0.007048876,0.000434168;0.000586740;0.000363057,[verify] matmul ok: 128/128
exp,2,[128],docker_real_comm_mcu_3role_tcp_vs_crypten_2rank_gloo,0.420934000,0.021837083,0.000296637,19.276109,1419.020553,73.615506,p1,0.379421000,0.420934000,0.381430000,0.416044884,0.004889034,0.420348075,0.000585843,0.374154688,0.416044884,0.378804650,0.005266678,0.004889034,0.002625802,0.378806351,0.420348075,0.000615015,0.000585843,12928,384,12928,384,768,25856,116352,1664,116352,1664,3328,232704,0.021759478,0.021837083,0.420934000;0.440034000;0.394545000,0.024824512;0.021837083;0.020990882,0.000294862;0.000407113;0.000296637,"[verify] Exp ok: n=128, max_err=5.230e-11"
sigmoid,2,[128],docker_real_comm_mcu_3role_tcp_vs_crypten_2rank_gloo,0.461435000,0.102719540,0.000283290,4.492183,1628.843235,362.595009,p1,0.416228000,0.461435000,0.417940000,0.456356394,0.005078805,0.460806424,0.000628775,0.411008540,0.456356394,0.415072482,0.005219042,0.005078805,0.002867676,0.415568447,0.460806424,0.000659135,0.000628775,13056,512,13056,512,1024,26112,117504,2816,117504,2816,5632,235008,0.102719540,0.102713407,0.461435000;0.479869000;0.437159000,0.104173750;0.102719540;0.093511698,0.000283032;0.000300113;0.000283290,"[verify] Sigmoid ok: n=128, max_err=8.549e-15"
gelu,2,[128],docker_real_comm_mcu_3role_tcp_vs_crypten_2rank_gloo,0.517934000,0.105728924,0.000304201,4.898697,1702.604531,347.562711,p0,0.517934000,0.460793000,0.461839000,0.512187604,0.005746159,0.516898737,0.001035026,0.512187604,0.455128717,0.458809352,0.005746159,0.005663945,0.003029744,0.516898737,0.459726104,0.001035026,0.001066558,13184,640,13184,640,1280,26368,119680,3968,119680,3968,7936,239360,0.105689278,0.105728924,0.517934000;0.532038000;0.507560000,0.105728924;0.101354524;0.115494742,0.000449117;0.000288731;0.000304201,"[verify] Gelu ok: n=128, max_err=7.161e-12"
softmax,2,"[32,4]",docker_real_comm_mcu_3role_tcp_vs_crypten_2rank_gloo,0.473121000,0.355879548,0.000506421,1.329441,934.244431,702.734577,p1,0.423604000,0.473121000,0.425051000,0.467542012,0.005578667,0.472279711,0.000840968,0.417946050,0.467542012,0.422070362,0.005658438,0.005578667,0.002980786,0.422748164,0.472279711,0.000856324,0.000840968,12960,512,12960,512,1024,25920,116640,2816,116640,2816,5632,233280,0.355879548,0.355774319,0.473121000;0.450460000;0.496696000,0.324806086;0.429879491;0.355879548,0.000506061;0.000592372;0.000506421,"[verify] Softmax ok: n=32, max_err=7.550e-15"
elemul,4,[256],docker_real_comm_mcu_3role_tcp_vs_crypten_2rank_gloo,0.058622000,0.007314247,0.000312989,8.014769,187.297317,23.369023,p0,0.058622000,0.025325000,0.019355000,0.053543240,0.005078297,0.053628601,0.004992936,0.053543240,0.019356663,0.019160982,0.005078297,0.005968471,0.000194261,0.053628601,0.019452471,0.004992936,0.005872663,256,256,256,256,512,512,4608,2304,4608,2304,4608,9216,0.007313662,0.007314247,0.049566000;0.079790000;0.058622000,0.007314247;0.007654079;0.007236216,0.000312989;0.000294782;0.000330663,[verify] elemul ok: 256/256
matmul,4,"[16,16]x[16,16]",docker_real_comm_mcu_3role_tcp_vs_crypten_2rank_gloo,0.059544000,0.007866053,0.000383528,7.569743,155.253332,20.509723,p1,0.006258000,0.059544000,0.000291000,0.050596573,0.008947813,0.050654438,0.008889948,0.000239633,0.050596573,0.000263601,0.006018575,0.008947813,0.000027184,0.000313650,0.050654438,0.005944558,0.008889948,1,1,1,1,2,2,4114,2057,4114,2057,4114,8228,0.007866053,0.007397466,0.047060000;0.064948000;0.059544000,0.007623806;0.007980511;0.007866053,0.000397766;0.000299712;0.000383528,[verify] matmul ok: 256/256
exp,4,[256],docker_real_comm_mcu_3role_tcp_vs_crypten_2rank_gloo,0.794446000,0.023362932,0.000308931,34.004550,2571.596891,75.625081,p0,0.794446000,0.752737000,0.754075000,0.784604311,0.009841729,0.793467533,0.000978507,0.784604311,0.743081195,0.748805721,0.009841729,0.009656265,0.005269614,0.793467533,0.751821315,0.000978507,0.000916145,25856,768,25856,768,1536,51712,232704,3328,232704,3328,6656,465408,0.023307552,0.023362932,0.766688000;0.822809000;0.794446000,0.022689601;0.024197068;0.023362932,0.000308931;0.000423749;0.000306314,"[verify] Exp ok: n=256, max_err=9.868e-11"
sigmoid,4,[256],docker_real_comm_mcu_3role_tcp_vs_crypten_2rank_gloo,0.900507000,0.098661633,0.000357096,9.127226,2521.750455,276.288822,p0,0.900507000,0.849692000,0.851145000,0.890067266,0.010439521,0.899791043,0.000715744,0.890067266,0.839930751,0.844757893,0.010439521,0.009761696,0.006387323,0.899791043,0.848989377,0.000715744,0.000703070,26112,1024,26112,1024,2048,52224,235008,5632,235008,5632,11264,470016,0.098661633,0.098650441,0.888857000;0.900507000;0.908421000,0.098661633;0.099922312;0.097546133,0.000357096;0.000292688;0.000420466,"[verify] Sigmoid ok: n=256, max_err=1.044e-14"
gelu,4,[256],docker_real_comm_mcu_3role_tcp_vs_crypten_2rank_gloo,0.938755000,0.101649760,0.000427707,9.235192,2194.855356,237.662138,p0,0.938755000,0.892285000,0.893614000,0.928089641,0.010665157,0.937524352,0.001230446,0.928089641,0.881609470,0.887863226,0.010665157,0.010675517,0.005751264,0.937524352,0.891092461,0.001230446,0.001192526,26368,1280,26368,1280,2560,52736,239360,7936,239360,7936,15872,478720,0.101649760,0.101478813,0.938755000;0.953119000;0.926753000,0.098317412;0.101649760;0.102770709,0.000439208;0.000400091;0.000427707,"[verify] Gelu ok: n=256, max_err=1.136e-11"
softmax,4,"[64,4]",docker_real_comm_mcu_3role_tcp_vs_crypten_2rank_gloo,0.872043000,0.325972560,0.000430672,2.675204,2024.842571,756.892855,p0,0.872043000,0.823115000,0.824107000,0.861689622,0.010353684,0.870776717,0.001266589,0.861689622,0.813301471,0.818319906,0.010353684,0.009813911,0.005787329,0.870776717,0.821871499,0.001266589,0.001243883,25920,1024,25920,1024,2048,51840,233280,5632,233280,5632,11264,466560,0.325972560,0.325892462,0.396080000;0.872043000;0.906696000,0.322413755;0.329047171;0.325972560,0.000430672;0.000400974;0.000526471,"[verify] Softmax ok: n=64, max_err=7.550e-15"
