module,batch_size,shape,ratio_mcu_over_crypten,ratio_mcu_over_plain,ratio_crypten_over_plain,mcu_docker_median_s,crypten_docker_median_s,torch_plain_median_s,mcu_critical_role,mcu_critical_comm_s,mcu_critical_local_s,mcu_critical_protocol_s,mcu_critical_write_s
elemul,1,[64],7.391879,190.591845,25.783950,0.054539000,0.007378232,0.000286156,p1,0.047768718,0.006770292,0.047794112,0.006744898
matmul,1,"[4,16]x[16,16]",7.764345,172.902379,22.268767,0.057207000,0.007367911,0.000330863,p1,0.048206617,0.009000076,0.048237919,0.008968774
exp,1,[64],10.132403,745.785819,73.604043,0.236875000,0.023377969,0.000317618,p1,0.234130237,0.002744857,0.236287341,0.000587753
sigmoid,1,[64],2.793316,930.713166,333.192990,0.263188000,0.094220647,0.000282781,p1,0.260027821,0.003160557,0.262369209,0.000819169
gelu,1,[64],2.578016,866.578891,336.141781,0.263927000,0.102376013,0.000304562,p0,0.261102473,0.002824644,0.263189770,0.000737347
softmax,1,"[16,4]",0.728366,530.101485,727.795933,0.242056000,0.332327634,0.000456622,p1,0.239294638,0.002761417,0.241344409,0.000711646
elemul,2,[128],8.854488,208.563786,23.554584,0.060900000,0.006877868,0.000291997,p1,0.055825969,0.005074365,0.055871953,0.005028381
matmul,2,"[8,16]x[16,16]",7.073326,114.838035,16.235365,0.049859000,0.007048876,0.000434168,p1,0.040777596,0.009081433,0.040812826,0.009046203
exp,2,[128],19.276109,1419.020553,73.615506,0.420934000,0.021837083,0.000296637,p1,0.416044884,0.004889034,0.420348075,0.000585843
sigmoid,2,[128],4.492183,1628.843235,362.595009,0.461435000,0.102719540,0.000283290,p1,0.456356394,0.005078805,0.460806424,0.000628775
gelu,2,[128],4.898697,1702.604531,347.562711,0.517934000,0.105728924,0.000304201,p0,0.512187604,0.005746159,0.516898737,0.001035026
softmax,2,"[32,4]",1.329441,934.244431,702.734577,0.473121000,0.355879548,0.000506421,p1,0.467542012,0.005578667,0.472279711,0.000840968
elemul,4,[256],8.014769,187.297317,23.369023,0.058622000,0.007314247,0.000312989,p0,0.053543240,0.005078297,0.053628601,0.004992936
matmul,4,"[16,16]x[16,16]",7.569743,155.253332,20.509723,0.059544000,0.007866053,0.000383528,p1,0.050596573,0.008947813,0.050654438,0.008889948
exp,4,[256],34.004550,2571.596891,75.625081,0.794446000,0.023362932,0.000308931,p0,0.784604311,0.009841729,0.793467533,0.000978507
sigmoid,4,[256],9.127226,2521.750455,276.288822,0.900507000,0.098661633,0.000357096,p0,0.890067266,0.010439521,0.899791043,0.000715744
gelu,4,[256],9.235192,2194.855356,237.662138,0.938755000,0.101649760,0.000427707,p0,0.928089641,0.010665157,0.937524352,0.001230446
softmax,4,"[64,4]",2.675204,2024.842571,756.892855,0.872043000,0.325972560,0.000430672,p0,0.861689622,0.010353684,0.870776717,0.001266589
